trial,L_HIGH,PORT_SL,PORT_TSL,EARLY_KILL_X,EARLY_KILL_Y,EARLY_FILL_Y,EARLY_FILL_X,Sharpe,CAGR%,MaxDD%,Calmar,WF_CV
81,0.911622,-0.950383,1.001740,5,-1274,0.976197,6,1.947900,442.330000,-65.119000,6.793000,0.950000
82,1.070403,-0.991423,1.111637,6,-1279,0.863748,5,1.947900,537.850000,-71.272000,7.546000,0.950000
83,1.006282,-0.872679,0.959870,9,-1104,0.734585,4,1.947900,500.040000,-68.918000,7.256000,0.950000
84,0.938321,-0.848872,1.116956,5,-845,1.067994,3,1.947900,458.760000,-66.231000,6.927000,0.950000
85,0.955604,-1.050301,1.102816,10,-1095,0.972185,6,1.938000,456.530000,-64.773000,7.048000,1.005100
86,1.080666,-1.055547,1.127574,8,-1292,0.684370,6,1.947900,543.760000,-71.633000,7.591000,0.950000
87,0.988018,-1.005772,1.056060,10,-1386,0.822277,6,1.938000,475.680000,-66.062000,7.200000,1.005100
88,1.049997,-0.944408,0.991629,5,-1221,0.981842,7,1.947900,525.970000,-70.541000,7.456000,0.950000
89,0.992995,-1.131941,1.188538,8,-667,1.033926,6,1.947900,492.050000,-68.408000,7.193000,0.950000
90,1.084940,-1.085807,1.140098,5,-638,0.680552,6,1.947900,546.210000,-71.782000,7.609000,0.950000
91,1.042652,-1.071295,1.124860,7,-1239,0.632779,4,1.947900,521.650000,-70.274000,7.423000,0.950000
92,1.024380,-1.096363,1.151181,5,-1141,0.617449,5,1.947900,510.850000,-69.599000,7.340000,0.950000
93,1.079127,-1.040969,1.093017,9,-878,1.269849,4,1.947900,542.880000,-71.579000,7.584000,0.950000
94,1.018064,-0.959391,1.007361,9,-749,0.661171,4,1.947900,507.090000,-69.363000,7.311000,0.950000
95,1.043528,-1.081307,1.138127,5,-925,0.702362,5,1.947900,522.170000,-70.306000,7.427000,0.950000
96,1.099516,-1.049662,1.102145,5,-1331,0.987558,4,1.947900,554.510000,-72.286000,7.671000,0.950000
97,0.973076,-0.861449,0.904521,5,-962,1.096556,4,1.947900,479.990000,-67.630000,7.097000,0.950000
98,0.984076,-1.126385,1.182704,5,-827,1.304421,4,1.947900,486.660000,-68.062000,7.150000,0.950000
99,0.965069,-1.111492,1.167067,7,-1072,1.111524,4,1.947900,475.120000,-67.313000,7.058000,0.950000
100,0.948274,-0.937280,0.984144,9,-826,1.038700,6,1.947900,464.860000,-66.637000,6.976000,0.950000
101,1.056765,-0.971701,1.020286,10,-1139,1.239194,7,1.938000,515.430000,-68.653000,7.508000,1.005100
102,1.057518,-0.896498,1.008465,5,-1121,1.350637,5,1.947900,530.360000,-70.812000,7.490000,0.950000
103,0.986594,-0.852145,1.126553,5,-632,0.788885,3,1.947900,488.190000,-68.160000,7.162000,0.950000
104,0.991024,-0.994778,1.044517,5,-689,0.898527,3,1.947900,490.860000,-68.332000,7.183000,0.950000
105,1.039638,-0.902985,0.948134,5,-932,0.595315,3,1.947900,519.880000,-70.163000,7.410000,0.950000
106,1.072553,-0.841866,0.992426,5,-866,0.935611,6,1.947900,539.090000,-71.348000,7.556000,0.950000
107,1.068241,-0.918824,0.964765,5,-983,1.135141,4,1.947900,536.600000,-71.195000,7.537000,0.950000
108,0.966147,-1.117824,1.173715,5,-1168,0.713160,3,1.947900,475.780000,-67.356000,7.064000,0.950000
109,0.927641,-1.114390,1.170110,5,-624,0.681619,5,1.947900,452.200000,-65.790000,6.873000,0.950000
110,0.948328,-1.010556,1.061084,8,-603,1.269869,5,1.947900,464.900000,-66.639000,6.976000,0.950000
111,0.932549,-1.071062,1.124616,5,-1334,0.953930,5,1.947900,455.210000,-65.993000,6.898000,0.950000
112,1.096930,-0.948876,1.083008,5,-1238,1.069781,4,1.947900,553.040000,-72.197000,7.660000,0.950000
113,0.982805,-0.935838,0.982630,5,-876,0.609075,4,1.947900,485.890000,-68.012000,7.144000,0.950000
114,1.045037,-1.051803,1.104393,5,-1311,1.064314,4,1.947900,523.060000,-70.361000,7.434000,0.950000
115,0.928744,-1.047349,1.099717,5,-1392,0.597174,3,1.947900,452.880000,-65.836000,6.879000,0.950000
116,1.098617,-1.015138,1.065895,9,-1303,1.018671,5,1.947900,554.000000,-72.255000,7.667000,0.950000
117,0.954637,-0.856504,1.018087,5,-1130,1.256306,3,1.947900,468.750000,-66.895000,7.007000,0.950000
118,1.019143,-0.910190,1.101045,5,-1088,1.032404,5,1.947900,507.730000,-69.403000,7.316000,0.950000
119,1.035524,-1.057054,1.109906,8,-1385,0.926064,5,1.947900,517.450000,-70.012000,7.391000,0.950000
120,0.902494,-1.077920,1.131817,5,-675,1.298608,5,1.947900,436.690000,-64.731000,6.746000,0.950000
121,1.036516,-0.885864,1.127080,5,-759,1.274314,7,1.947900,518.040000,-70.049000,7.395000,0.950000
122,0.942429,-0.981031,1.059348,9,-902,1.003479,6,1.947900,461.280000,-66.399000,6.947000,0.950000
123,1.046227,-1.074039,1.127741,5,-1322,1.279533,6,1.947900,523.760000,-70.404000,7.439000,0.950000
124,0.919972,-0.902206,1.062349,5,-1382,0.892699,6,1.947900,447.470000,-65.470000,6.835000,0.950000
125,1.077514,-0.958705,1.006640,6,-1064,0.918039,5,1.947900,541.950000,-71.522000,7.577000,0.950000
126,1.087076,-0.980389,1.029409,5,-914,0.697838,4,1.947900,547.430000,-71.856000,7.618000,0.950000
127,1.036912,-0.942325,1.125105,5,-678,1.190776,7,1.947900,518.270000,-70.063000,7.397000,0.950000
